locip,IPsec VPN local gateway IP address,ip
locport,Local Port,number
log,Log Name for Log Rotation,string
logdesc,Log Description,string
logid,Log ID,string
lowcount,Security Rating result failed count for low severity,number
mac,MAC Address,string
manuf,Manufacturer name,string
max,,number
mediumcount,Security Rating result failed count for medium severity,number
mem,Memory Usage,number
member,,string
meshmode,Mesh mode,string
method,Method,string
mgmtcnt,The number of unauthorized client flooding managemet frames,number
mode,"SYSTEM/system: Mode

VPN/vpn: IPsec VPN ID protection mode",string
module,Configuration Module Name,string
monitor-name,Health Monitor Type,string
monitor-type,Health Monitor Name,string
moscodec,,string
mosvalue,,string
mpsk,Multiple pre-shared keys,string
msg,Log Message,string
mtu,Max Transmission Unit Value,number
name,Display Name of the Connection,string
nat,NAT IP Address,ip
neighbor,,string
netid,,string
new_status,New Status,string
new_value,New Virtual Domain Name,string
newchannel,New Channel Number,number
newchassisid,New Chassis ID,number
newslot,New Slot Number,number
newvalue,,string
nextstat,Time interval in seconds for the next statistics,number
noise,WiFi signal noise level,number
numpassmember,,number
old_status,Original Status,string
old_value,Original Virtual Domain name,string
oldchannel,Original Channel Number,number
oldchassisid,Original Chassis Number,number
oldslot,Original Slot Number,number
oldsn,Security fabric upstream FGT old serial number,string
oldvalue,,string
oldwprof,Old Web Filter Profile,string
onwire,The rogue ap is onwire or not,string
opercountry,The name of operating country on a AP,string
operdrmamode,,string
opertxpower,The value of operating tx power,number
out_spi,Out SPI,string
outbandwidthavailable,,string
outbandwidthused,,string
outintf,IPsec VPN binding interface,string
packetloss,,string
passedcount,Security Rating result passed count,number
passwd,Password,string
path,,string
peer,Address type,string
peer_notif,IPsec VPN Peer Notification,string
phase2_name,Phase 2 Name,string
pid,Process ID,number
policyid,Policy ID,number
poolname,IP Pool Name,string
port,Port Number,number
portbegin,Port Number to Begin,number
portend,Port Number to End,number
probeproto,Link Monitor Probe Protocol,string
process,Process,string
processtime,Process time for reports,number
profile,Profile Name,string
proto,Protocol Number,number
protocol,,string
radioband,The operating radio band,string
radioid,The operating radio ID,number
radioidclosest,The radio ID on the AP closest with the detected rogue ap,number
radioiddetected,The radio ID on the AP which detected the rogue ap,number
rate,WiFi band width rate,number
rcvdbyte,Received Bytes,number
reason,Reason,string
received,,number
receivedsignature,,number
red,,string
remip,IPsec VPN remote gateway IP address,ip
remote,IP Address of the PPP Remote end,ip
remotetunnelid,,number
remotewtptime,The time of AP when client trying to connect,string
remport,Remote Port,number
reporttype,Report Type,string
result,IPsec VPN negotiation result,string
role,"IPsec peer role, initator or responder",string
rssi,The value of Received signal strength indicator,number
rsso_key,RADIUS SSO attribute value,string
saddr,Source Address IP,string
scantime,,number
scope,FortiGuard Override Scope,string
security,Security,string
sentbyte,Bytes Sent,number
seq,Sequence,string
serial,Serial Number,number
serialno,Serial Number,string
server,"SYSTEM/system: Server IP Address

USER/WIRELESS/user/wireless: AD server FQDN or IP",string
service,Name of Service,string
serviceid,,number
session_id,Session ID,number
setuprate,Session Setup Rate,number
severity,Severity,string
signal,The signal value of SSID or client,number
slamap,,string
slatargetid,,number
slctdrmamode,,string
slot,Slot Number,number
sn,"ENDPOINT/FORTIEXTENDER/HA/SYSTEM/WIRELESS/endpoint/fortiextender/ha/system/wireless: Serial Number

SYSTEM/system: Serial number for login or logout events. Used to correlate login and logout events.",string
snclosest,SN of the AP closest to the rogue AP,string
sndetected,SN of the AP which detected the rogue AP,string
snmeshparent,SN of the mesh parent,string
snr,,number
source_mac,The source MAC address of wifi station,string
spi,Security Parameter Index,string
src_int,Source Interface,string
srcintfrole,,string
srcip,Source IP,ip
srcmac,Source MAC address,string
srcname,Source name,string
srcport,Source port,number
ssid,WiFi Service Set ID,string
ssllocal,SSL message,string
sslremote,SSL message,string
stacount,The count of wifi stations,number
stage,,number
stamac,The MAC address of wifi station,string
state,State,string
status,Status,string
stitch,Automation stitch name,string
stitchaction,,string
submodule,"Sub-module name. For example autoupdate is sub-module in log of ""config system autoupdate schedule""",string
subtype,Log Subtype,string
sync_status,The sync status with the primary,string
sync_type,The sync type with the primary,string
sysuptime,,number
tamac,"The MAC address of Transmitter. If none, then Receiver",string
threattype,WIDS threat type,string
time,Time,string
to_vcluster,Destination virtual cluster number,number
total,Total,number
totalsession,Total Number of Sessions,number
trace_id,,string
trigger,Automation trigger name,string
tunnelid,IPsec VPN tunnel ID,number
tunnelip,IPsec VPN tunnel IP address,ip
tunneltype,IPsec VPN tunnel type,string
type,Log Type,string
tz,Time zone,string
ui,User Interface,string
unit,Unit,number
upgradedevice,,string
url,URL,string
used,Number of Used IPs,number
used_for_type,Connection for the type,number
user,User name of authenticated user,string
useralt,,string
vap,Virtual Access Point,string
vapmode,Virtual Access Point mode,string
vcluster,Virtual cluster,number
vcluster_member,Virtual cluster member,number
vcluster_state,Virtual cluster member state,string
vd,Virtual Domain Name,string
vdname,Virtual Domain Name,string
vendorurl,,string
version,Version,string
vip,Virtual IP,string
vpntunnel,IPsec VPN Tunnel Name,string
vrf,,number
vulncat,Vulnerability Category,string
vulnid,Vulnerability ID,number
vulnname,Vulnerability name,string
wanin,,number
waninfo,,string
wanout,,number
weakwepiv,Weak Wep Initiation Vector,string
wscode,,number
xauthgroup,IPsec VPN Xauth user group name,string
xauthuser,IPsec VPN Xauth user name,string
xid,,number
