Log Field Name,Description,Data Type
direction,"APP-CTRL/App: Direction of the packets

AV/IPS/Virus: Message/packets direction

DLP/Email: Direction of packets

SSH: Direction of session

WAF: Direction

Web/Webfilter: Direction of the web traffic",string
dlpextra,DLP extra information,string
docsource,DLP fingerprint document source,string
domainfilteridx,Domain Filter Index,number
domainfilterlist,Domain Filter List,string
dst_int,Destination Interface,string
dst_port,Destination port,number
dstauthserver,,string
dstcountry,,string
dstintf,Destination Interface,string
dstintfrole,"APP-CTRL/AV/Anomaly/App/DLP/IPS/SSH/Virus/WAF/Web/Webfilter: Destination Interface's assigned role (LAN, WAN, etc.)

DNS: Destination Interface Role

Email: Destination interface Role, ex: LAN, WAN, etc",string
dstip,"APP-CTRL/Anomaly/App/DLP/DNS/Email/IPS/SSH/VoIP/Web/Webfilter: Destination IP

AV/Virus/WAF: Destination IP Address",ip
dstport,Destination Port,number
dstuser,,string
dstuuid,,string
dtype,Data type for virus category,string
duration,Duration of the session. Ex: 180 (in seconds),number
epoch,"DLP: Epoch used for locating file

VoIP: Epoch",number
error,"DNS: DNS filter service error message

Web/Webfilter: URL rating error message",string
event_id,Unique event ID,number
eventid,"DLP: The serial number of the dlparchive file in the same epoch

WAF: Event ID",number
eventsubtype,,string
eventtime,"APP-CTRL/App/SSH: Event Time

AV/Anomaly/IPS/Virus: Time when detection occured

DLP: Event Time, time when DLP event detected.

DNS: Event Timestamp

Email: the time of the event

VoIP: Time when event occured

WAF: Event Time, Time when WAF event detected

Web/Webfilter: Web Filter event time",number
eventtype,"APP-CTRL/App: App Control Event Type

AV/Virus: Event type of AV

Anomaly/SSH/WAF: Event Type

DLP: DLP event type

DNS: DNS Type (DNS query/DNS response)

Email: Email Filter event type

IPS: IPS Event Type

Web/Webfilter: Web Filter event type",string
exchange,Mail Exchanges from DNS response answer section,string
fctuid,"APP-CTRL/AV/App/DLP/Virus: Forticlient user ID

Anomaly/IPS/SSH/WAF/Web/Webfilter: FortiClient UID

DNS/Email: FortiClient ID",string
filefilter,The filter used to identify the affected file,string
filehash,Used by Outbreak Prevention External Hash: the hash signature used in the detection,string
filehashsrc,Used by Outbreak Prevention External Hash: external source that provided the hash signature,string
filename,File name,string
filesize,File size in bytes,number
filetype,File type,string
filtercat,DLP filter category,string
filteridx,DLP filter ID,number
filtername,DLP rule name,string
filtertype,"DLP: DLP filter type

Web/Webfilter: Filter type",string
fndraction,,string
fndrconfidence,,string
fndrfileid,,number
fndrfiletype,,string
fndrseverity,,string
fndrverdict,,string
fortiguardresp,,string
forwardedfor,"APP-CTRL/App/DLP: Forwarded For

IPS/Web/Webfilter: X-Forwarded-For HTTP header",string
from,"AV/DLP/Virus: Email address from the Email Headers (IMAP/POP3/SMTP)

Email: Email address(es) from the Email Headers (IMAP/POP3/SMTP)

VoIP: Where call was originated from

Web/Webfilter: MMS-only - From/To headers from the email",string
fsaaction,,string
fsafileid,,number
fsafiletype,,string
fsaseverity,,string
fsaverdict,"FortiSandbox Verdict returned to FortiGate after analysis (clean, low risk, med risk, high risk, malicious)",string
ftlkintf,,string
group,"APP-CTRL/Anomaly/App/DLP/DNS/Email/IPS/WAF/Web/Webfilter: User group name

AV/Virus: Group name (authentication)

SSH: Group name for authentication",string
handshake,,string
hostkeystatus,,string
hostname,The host name of a URL,string
httpmethod,,string
icmpcode,"Anomaly: ICMP code

IPS: Destination Port of the ICMP message",string
icmpid,"Anomaly: ICMP ID

IPS: Source port of the ICMP message",string
icmptype,"Anomaly: ICMP Type

IPS: The type of ICMP message",string
incidentserialno,Incident serial number,number
infectedfilelevel,"Infected File Level (Critical,Warning etc)",number
infectedfilename,Infected File Name,string
infectedfilesize,Infected File Size,number
infectedfiletype,Infected File Type,string
infection,,string
initiator,The initiator user for override,string
ipaddr,IP addresses from DNS response answer section,string
issuer,,string
keyalgo,,string
keysize,,number
keyword,Keyword used for search,string
kind,"Kind of service. Typically it will have value ""call""",string
kxcurve,,string
kxproto,,string
level,Log Level,string
line,SIP header line,string
locip,Local IP,ip
locport,Local Port,number
logid,"APP-CTRL/AV/Anomaly/App/DLP/DNS/Email/IPS/SSH/Virus/WAF/Web/Webfilter: Log ID

VoIP: Unique Log ID",string
login,SSH login Name,string
logsrc,,string
malform_data,Malformed header data,number
malform_desc,Malformed header description,string
matchfilename,,string
matchfiletype,,string
message_type,"Message Type. Ex: message_type=""request""",string
mitm,,string
msg,"APP-CTRL/AV/Anomaly/App/DNS/Email/Virus/WAF/Web/Webfilter: Log message

IPS: Log message for the attack",string
name,Method or custom signature name,string
notafter,,string
notbefore,,string
parameters,,string
pathname,,string
pdstport,,number
phone,Phone,string
policy_id,Name of the firewall policy governing the traffic which caused the log message.,number
policyid,Policy ID,number
policymode,,string
policytype,Policy type,string
poluuid,,string
profile,"AV/Virus: The name of the profile that was used to detect and take action

DLP: DLP profile name

DNS: Profile name for DNS filter

Email: Email Filter profile name

IPS: Profile name for IPS

SSH/WAF: Full profile name

VoIP: Name or number of associated VOIP profile

Web/Webfilter: Web Filter profile name",string
profiletype,Profile Type,string
proto,"APP-CTRL/AV/App/DLP/DNS/Email/IPS/SSH/Virus/Web/Webfilter: Protocol number

Anomaly/WAF: Protocol

VoIP: Protocol number. Ex: for SIP it will be proto=17",number
psrcport,,number
qclass,Query class,string
qname,Query domain name,string
qtype,Query type description,string
qtypeval,Query Type Value,number
quarskip,Quarantine skip explanation,string
quotaexceeded,Quota has been exceeded,string
quotamax,Maximum quota allowed - in seconds if time-based - in bytes if traffic-based,number
quotatype,Quota type,string
quotaused,Quota used - in seconds if time-based - in bytes if traffic-based,number
ratemethod,,string
rawdata,"APP-CTRL/App/IPS/Web/Webfilter: Extended logging data including HTTP method, URL, client content type, server content type, user agent, referer, x-forwarded-for

DLP/WAF: Raw Data",string
rawdataid,,string
rcode,,number
rcvdbyte,Received Bytes,number
rcvdpkt,,number
reason,"Reason. Ex: reason=""unrecognized-form""",string
recipient,Email addresses from the SMTP envelope,string
ref,"AV/Virus: The URL of the FortiGuard IPS database entry for the attack

Anomaly: Reference

IPS: URL of the FortiGuard IPS database entry for the attack.",string
referralurl,Referrer URI,string
remip,Remote IP,ip
remport,Remote Port,number
reqtype,Request type,string
request_name,"Name of request. Ex: request_name=""INVITE"" or ""NOTIFY""",string
san,,string
scertcname,server certificate name,string
scertissuer,server certificate issuer,string
sender,"AV/DLP/Virus: Email address from the SMTP envelope

Email: Email addresses from the SMTP envelope",string
sensitivity,Sensitivity for document fingerprint,string
sentbyte,Sent Bytes,number
service,"APP-CTRL/App/DLP/IPS/WAF/Web/Webfilter: Service name

AV/Virus: Proxy service which scanned this traffic

Anomaly: Name of Service

Email: SMTP, POP3, IMAP, etc.",string
session_id,Session ID. Ex: session_id=232,number
sessionid,Session ID,number
severity,"Anomaly/WAF: Severity

DLP: Severity level of a DLP rule

IPS: Severity of the attack

SSH: Severity level of shell command",string
sharename,,string
size,Email size in Bytes?,string
ski,,string
sn,,string
sni,,string
src_int,"Name of the source interface. Ex: src_int=""port1""",string
src_port,Port number of the traffic's origin. Ex: srcport=40772,number
srccountry,Country name for Source IP,string
srcdomain,,string
srcintf,Source Interface,string
srcintfrole,"APP-CTRL/AV/Anomaly/App/DLP/IPS/SSH/Virus/WAF/Web/Webfilter: Source Interface's assigned role (LAN, WAN, etc.)

DNS: Source Interface Role

Email: Source interface Role, ex: LAN, WAN, etc",string
srcip,"APP-CTRL/Anomaly/App/DLP/DNS/Email/IPS/SSH/Web/Webfilter: Source IP

AV/Virus/WAF: Source IP Address

VoIP: IP address of the traffic's origin. Ex: srcip=10.1.100.155",ip
srcmac,MAC address associated with the Source IP,string
srcport,Source Port,number
srcuuid,,string
sscname,Safe Search CNAME,string
status,"Status. Ex: status=""blocked"" , status= ""start""",string
subject,The subject title of the email message,string
subservice,,string
subtype,"APP-CTRL/Anomaly/App/DLP/DNS/Email/IPS/SSH/WAF/Web/Webfilter: Log subtype

AV/Virus: Subtype of the virus log

VoIP: Subtype",string
switchid,,string
switchproto,Protocol used on the switch,string
time,"APP-CTRL/AV/Anomaly/App/DLP/DNS/Email/IPS/SSH/Virus/WAF/Web/Webfilter: Time

VoIP: Hour clock when the log message was recorded.",string
tlsver,,string
to,"AV/DLP/Email/Virus: Email address(es) from the Email Headers (IMAP/POP3/SMTP)

VoIP: Destination address

Web/Webfilter: MMS-only - From/To headers from the email",string
transid,Transaction ID,number
translationid,,number
trueclntip,"APP-CTRL/App: True-Client-IP

DLP: True client's IP

IPS/Web/Webfilter: True-Client-IP HTTP header",ip
type,"APP-CTRL/AV/Anomaly/App/DLP/DNS/Email/IPS/SSH/Virus/WAF/Web/Webfilter: Log type

VoIP: Type of log. Ex: type=""utm""",string
tz,Time Zone,string
unauthuser,Unauthenticated user,string
unauthusersource,Unauthenticated user source,string
url,"APP-CTRL/AV/App/DLP/IPS/Virus/Web/Webfilter: The URL address

WAF: URL",string
urlfilteridx,URL filter ID,number
urlfilterlist,URL filter list,string
urlsource,URL source,string
urltype,URL filter type,string
user,"APP-CTRL/App/DLP/DNS/Email/IPS/WAF/Web/Webfilter: User name

AV/Virus: Username (authentication)

Anomaly: User

SSH: User name for authentication",string
vd,"APP-CTRL/Anomaly/App/DLP/DNS/IPS/SSH/WAF/Web/Webfilter: Virtual domain name

AV/Virus: VDOM name

Email: Virtual Domain

VoIP: Name of the virtual domain in which the log message was recorded.",string
videocategoryid,,number
videocategoryname,,string
videochannelid,,string
videoid,,string
videoinfosource,,string
violations,,string
virus,Virus Name,string
viruscat,,string
virusid,Virus ID (unique virus identifier),string
voip_proto,SIP/SCCP/MGCP/h323,string
vrf,"APP-CTRL/App/DLP: Virtual Routing Forwarding

Anomaly/Email/IPS/Web/Webfilter: Virtual router forwarding",number
webmailprovider,,string
xid,Transaction ID,number
