Field Name,Variable Name,Description
High Resolution Timestamp (high_res_timestamp),high_res_timestamp,"Time in milliseconds the log was received at the management plane.
The format for this field is YYYY-MM-DDThh:ss:sssTZD:

YYYY—Four digit year

MM—Two-digit month

DD—Two-digit day of the month (01 through 31)

T—Indicator for the beginning of the timestamp

hh—Two-digit hour using 24-hour time (00 through 23)

mm—Two-digit minute (00 through 59)

ss—Two-digit second (00 through 60)

sss—One or more digits for millisecond

TZD—Time zone designator (+hh:mm or -hh:mm)


The High Resolution Timestamp is supported for logs received from managed firewalls running PAN-OS 10.0 and later releases. Logs received from managed firewalls running PAN-OS 9.1 and earlier releases display a 1969-12-31T16:00:00:000-8:00 timestamp regardless of when the log was received."
Source Device Category (src_category),src_category,The category for the device that Device-ID identifies as the source of the traffic.
Source Device Profile (src_profile),src_profile,The device profile for the device that Device-ID identifies as the source of the traffic.
Source Device Model (src_model),src_model,The model of the device that Device-ID identifies as the source of the traffic.
Source Device Vendor (src_vendor),src_vendor,The vendor of the device that Device-ID identifies as the source of the traffic.
Source Device OS Family (src_osfamily),src_osfamily,The operating system type for the device that Device-ID identifies as the source of the traffic.
Source Device OS Version (src_osversion),src_osversion,The version of the operating system for the device that Device-ID identifies as the source of the traffic.
Source Hostname (src_host),src_host,The hostname of the device that Device-ID identifies as the source of the traffic.
Source MAC Address (src_mac),src_mac,The MAC address for the device that Device-ID identifies as the source of the traffic.
Destination Device Category (dst_category),dst_category,The category for the device that Device-ID identifies as the destination for the traffic.
Destination Device Profile (dst_profile),dst_profile,The device profile for the device that Device-ID identifies as the destination for the traffic.
Destination Device Model (dst_model),dst_model,The model of the device that Device-ID identifies as the destination for the traffic.
Destination Device Vendor (dst_vendor),dst_vendor,The vendor of the device that Device-ID identifies as the destination for the traffic.
Destination Device OS Family (dst_osfamily),dst_osfamily,The operating system type for the device that Device-ID identifies as the destination for the traffic.
Destination Device OS Version (dst_osversion),dst_osversion,The version of the operating system for the device that Device-ID identifies as the destination for the traffic.
Destination Hostname (dst_host),dst_host,The hostname of the device that Device-ID identifies as the destination for the traffic.
Destination MAC Address (dst_mac),dst_mac,The MAC address for the device that Device-ID identifies as the destination for the traffic.
Sequence Number (seqno),seqno,A 64-bit log entry identifier incremented sequentially; each log type has unique number space.
Action Flags (actionflags),actionflags,A bit field indicating if the log was forwarded to Panorama.
Device Group Hierarchy (dg_hier_level_1 to dg_hier_level_4),dg_hier_level_1,"A sequence of identification numbers that indicate the device group’s location within a device group hierarchy. The firewall (or virtual system) generating the log includes the identification number of each ancestor in its device group hierarchy. The shared device group (level 0) is not included in this structure.
If the log values are 12, 34, 45, 0, it means that the log was generated by a firewall (or virtual system) that belongs to device group 45, and its ancestors are 34, and 12. To view the device group names that correspond to the value 12, 34 or 45, use one of the following methods:
API query:

/api/?type=op&cmd=<show><dg-hierarchy></dg-hierarchy></show>"
Virtual System Name (vsys_name),vsys_name,The name of the virtual system associated with the session; only valid on firewalls enabled for multiple virtual systems.
Device Name (device_name),device_name,The hostname of the firewall on which the session was logged.
Virtual System ID (vsys_id),vsys_id,A unique identifier for a virtual system on a Palo Alto Networks firewall.
Application Subcategory (subcategory_of_app),subcategory_of_app,The application subcategory specified in the application configuration properties.
Application Category (category_of_app),category_of_app,"The application category specified in the application configuration properties. Values are:

business-systems

collaboration

general-internet

media

networking

saas"
Application Technology (technology_of_app),technology_of_app,"The application technology specified in the application configuration properties. Values are:

browser-based

client-server

network-protocol

peer-to-peer"
Application Risk (risk_of_app),risk_of_app,Risk level associated with the application (1=lowest to 5=highest).
Application Characteristic (characteristic_of_app),characteristic_of_app,Comma-separated list of applicable characteristic of the application
Application Container (container_of_app),container_of_app,The parent application for an application.
Application SaaS (is_saas_of_app),is_saas_of_app,Displays 1 if a SaaS application or 0 if not a SaaS application.
Application Sanctioned State (sanctioned_state_of_app),sanctioned_state_of_app,Displays 1 if application is sanctioned or 0 if application is not sanctioned.
Cluster Name (cluster_name),cluster_name,(11.1 and later releases) Name of the CN-Series firewall cluster.
