Field Name,Variable Name,Description
Action (action),action,"Action taken for the session; possible values are:

Allow—session was allowed by policy

Deny—session was denied by policy

Drop—session was dropped silently

Drop ICMP—session was silently dropped with an ICMP unreachable message to the host or application

Reset both—session was terminated and a TCP reset is sent to both the sides of the connection

Reset client—session was terminated and a TCP reset is sent to the client

Reset server—session was terminated and a TCP reset is sent to the server"
Severity (severity),severity,"Severity associated with the event; values are informational, low, medium, high, critical."
Sequence Number (seqno),seqno,A 64-bit log entry identifier incremented sequentially; each log type has a unique number space. This field is not supported on PA-7000 Series firewalls.
Action Flags (actionflags),actionflags,A bit field indicating if the log was forwarded to Panorama.
Source Location (srcloc),srcloc,Source country or Internal region for private addresses; maximum length is 32 bytes.
Destination Location (dstloc),dstloc,Destination country or Internal region for private addresses. Maximum length is 32 bytes.
Device Group Hierarchy (dg_hier_level_1 to dg_hier_level_4),dg_hier_level_1,"A sequence of identification numbers that indicate the device group’s location within a device group hierarchy. The firewall (or virtual system) generating the log includes the identification number of each ancestor in its device group hierarchy. The shared device group (level 0) is not included in this structure.
If the log values are 12, 34, 45, 0, it means that the log was generated by a firewall (or virtual system) that belongs to device group 45, and its ancestors are 34, and 12. To view the device group names that correspond to the value 12, 34 or 45, use one of the following methods:
API query:

/api/?type=op&cmd=<show><dg-hierarchy></dg-hierarchy></show>"
Virtual System Name (vsys_name),vsys_name,The name of the virtual system associated with the session; only valid on firewalls enabled for multiple virtual systems.
Device Name (device_name),device_name,The hostname of the firewall on which the session was logged.
Tunnel ID (tunnelid),tunnelid,ID of the tunnel being inspected or the International Mobile Subscriber Identity (IMSI) ID of the mobile user.
Monitor Tag (monitortag),monitortag,Monitor name you configured for the Tunnel Inspection policy rule or the International Mobile Equipment Identity (IMEI) ID of the mobile device.
Parent Session ID (parent_session_id),parent_session_id,ID of the session in which this session is tunneled. Applies to inner tunnel (if two levels of tunneling) or inside content (if one level of tunneling) only.
Parent Start Time (parent_start_time),parent_start_time,Year/month/day hours:minutes:seconds that the parent tunnel session began.
Tunnel Type (tunnel),tunnel,"Type of tunnel, such as GRE or IPSec."
Bytes (bytes),bytes,Number of bytes in the session.
Bytes Sent (bytes_sent),bytes_sent,Number of bytes in the client-to-server direction of the session.
Bytes Received (bytes_received),bytes_received,Number of bytes in the server-to-client direction of the session.
Packets (packets),packets,Number of total packets (transmit and receive) for the session.
Packets Sent (pkts_sent),pkts_sent,Number of client-to-server packets for the session.
Packets Received (pkts_received),pkts_received,Number of server-to-client packets for the session.
Maximum Encapsulation (max_encap),max_encap,Number of packets the firewall dropped because the packet exceeded the maximum number of encapsulation levels configured in the Tunnel Inspection policy rule (Drop packet if over maximum tunnel inspection level).
Unknown Protocol (unknown_proto),unknown_proto,"Number of packets the firewall dropped because the packet contains an unknown protocol, as enabled in the Tunnel Inspection policy rule (Drop packet if unknown protocol inside tunnel)."
Strict Checking (strict_check),strict_check,"Number of packets the firewall dropped because the tunnel protocol header in the packet failed to comply with the RFC for the tunnel protocol, as enabled in the Tunnel Inspection policy rule (Drop packet if tunnel protocol fails strict header check)."
Tunnel Fragment (tunnel_fragment),tunnel_fragment,Number of packets the firewall dropped because of fragmentation errors.
Sessions Created (sessions_created),sessions_created,Number of inner sessions created.
Sessions Closed (sessions_closed),sessions_closed,Number of completed/closed sessions created.
Session End Reason (session_end_reason),session_end_reason,"The reason a session terminated. If the termination had multiple causes, this field displays only the highest priority reason. The possible session end reason values are as follows, in order of priority (where the first is highest):

threat—The firewall detected a threat associated with a reset, drop, or block (IP address) action.

policy-deny—The session matched a security rule with a deny or drop action.

decrypt-cert-validation—The session terminated because you configured the firewall to block SSL forward proxy decryption or SSL inbound inspection when the session uses client authentication or when the session uses a server certificate with any of the following conditions: expired, untrusted issuer, unknown status, or status verification time-out. This session end reason also displays when the server certificate produces a fatal error alert of type bad_certificate, unsupported_certificate, certificate_revoked, access_denied, or no_certificate_RESERVED (SSLv3 only).

decrypt-unsupport-param—The session terminated because you configured the firewall to block SSL forward proxy decryption or SSL inbound inspection when the session uses an unsupported protocol version, cipher, or SSH algorithm. This session end reason is displays when the session produces a fatal error alert of type unsupported_extension, unexpected_message, or handshake_failure.

decrypt-error—The session terminated because you configured the firewall to block SSL forward proxy decryption or SSL inbound inspection when firewall resources or the hardware security module (HSM) were unavailable. This session end reason is also displayed when you configured the firewall to block SSL traffic that has SSH errors or that produced any fatal error alert other than those listed for the decrypt-cert-validation and decrypt-unsupport-param end reasons.

tcp-rst-from-client—The client sent a TCP reset to the server.

tcp-rst-from-server—The server sent a TCP reset to the client.

resources-unavailable—The session dropped because of a system resource limitation. For example, the session could have exceeded the number of out-of-order packets allowed per flow or the global out-of-order packet queue.

tcp-fin—One host or both hosts in the connection sent a TCP FIN message to close the session.

tcp-reuse—A session is reused and the firewall closes the previous session.

decoder—The decoder detects a new connection within the protocol (such as HTTP-Proxy) and ends the previous connection.

aged-out—The session aged out.

unknown—This value applies in the following situations:

Session terminations that the preceding reasons do not cover (for example, a clear session all command).

For logs generated in a PAN-OS release that does not support the session end reason field (releases older than PAN-OS 6.1), the value will be unknown after an upgrade to the current PAN-OS release or after the logs are loaded onto the firewall.

In Panorama, logs received from firewalls for which the PAN-OS version does not support session end reasons will have a value of unknown.

n/a—This value applies when the traffic log type is not end."
Action Source (action_source),action_source,"Specifies whether the action taken to allow or block an application was defined in the application or in policy. The actions can be allow, deny, drop, reset- server, reset-client or reset-both for the session."
Start Time (start),start,Year/month/day hours:minutes:seconds that the session began.
Elapsed Time (elapsed),elapsed,Elapsed time of the session.
Tunnel Inspection Rule (tunnel_insp_rule),tunnel_insp_rule,Name of the tunnel inspection rule matching the cleartext tunnel traffic.
Remote User IP (remote_user_ip),remote_user_ip,IPv4 or IPv6 address of a remote user.
Remote User ID (remote_user_id),remote_user_id,"IMSI identity of a remote user, and if available, one IMEI identity or one MSISDN identity."
Security Rule UUID (rule_uuid),rule_uuid,The UUID that permanently identifies the rule.
PCAP ID (pcap_id),pcap_id,Unique packet capture ID that defines the location of the pcap file on the firewall.
Dynamic User Group Name (dynusergroup_name),dynusergroup_name,The name of the dynamic user group that contains the user who initiated the session.
Source External Dynamic List (src_edl),src_edl,The name of the external dynamic list that contains the source IP address of the traffic.
Destination External Dynamic List (dst_edl),dst_edl,The name of the external dynamic list that contains the destination IP address of the traffic.
High Resolution Timestamp (high_res timestamp),high_res,"Time in milliseconds the log was received at the management plane.
The format for this new field is YYYY-MM-DDThh:ss:sssTZD:

YYYY—Four digit year

MM—Two-digit month

DD—Two-digit day of the month (01 through 31)

T—Indicator for the beginning of the timestamp

hh—Two-digit hour using 24-hour time (00 through 23)

mm—Two-digit minute (00 through 59)

ss—Two-digit second (00 through 60)

sss—One or more digits for millisecond

TZD—Time zone designator (+hh:mm or -hh:mm)


The High Resolution Timestamp is supported for logs received from managed firewalls running PAN-OS 11.1 and later releases. Logs received from managed firewalls running PAN-OS 9.1 and earlier releases display a 1969-12-31T16:00:00:000-8:00 timestamp regardless of when the log was received."
A Slice Differentiator (nssai_sd),nssai_sd,The A Slice Differentiator of the Network Slice ID.
A Slice Service Type (nssai_sd),nssai_sd,The A Slice Service Type of the Network Slice ID.
PDU Session ID (pdu_session_id),pdu_session_id,Session ID for the collection of L4 segments inside a tunnel.
Application Subcategory (subcategory_of_app),subcategory_of_app,The application subcategory specified in the application configuration properties.
Application Category (category_of_app),category_of_app,"The application category specified in the application configuration properties. Values are:

business-systems

collaboration

general-internet

media

networking

saas"
Application Technology (technology_of_app),technology_of_app,"The application technology specified in the application configuration properties. Values are:

browser-based

client-server

network-protocol

peer-to-peer"
Application Risk (risk_of_app),risk_of_app,Risk level associated with the application (1=lowest to 5=highest).
Application Characteristic (characteristic_of_app),characteristic_of_app,Comma-separated list of applicable characteristic of the application
Application Container (container_of_app),container_of_app,The parent application for an application.
Application SaaS (is_saas_of_app),is_saas_of_app,Displays 1 if a SaaS application or 0 if not a SaaS application.
Application Sanctioned State (sanctioned_state_of_app),sanctioned_state_of_app,Displays 1 if application is sanctioned or 0 if application is not sanctioned.
Cluster Name (cluster_name),cluster_name,(11.1 and later releases) Name of the CN-Series firewall cluster.
