Field Name,Variable Name,Description
URL Index (url_idx),url_idx,"Used in URL Filtering and WildFire subtypes.
When an application uses TCP keepalives to keep a connection open for a length of time, all the log entries for that session have a single session ID. In such cases, when you have a single threat log (and session ID) that includes multiple URL entries, the url_idx is a counter that allows you to correlate the order of each log entry within the single session.
For example, to learn the URL of a file that the firewall forwarded to WildFire for analysis, locate the session ID and the url_idx from the WildFire Submissions log and search for the same session ID and url_idx in your URL filtering logs. The log entry that matches the session ID and url_idx will contain the URL of the file that was forwarded to WildFire."
User Agent (user_agent),user_agent,"Only for the URL Filtering subtype; all other types do not use this field.
The User Agent field specifies the web browser that the user used to access the URL, for example Internet Explorer. This information is sent in the HTTP request to the server."
File Type (filetype),filetype,"Only for WildFire subtype; all other types do not use this field.
Specifies the type of file that the firewall forwarded for WildFire analysis."
X-Forwarded-For (xff),xff,"Only for the URL Filtering subtype; all other types do not use this field.
The X-Forwarded-For field in the HTTP header contains the IP address of the user who requested the web page. It allows you to identify the IP address of the user, which is useful particularly if you have a proxy server on your network that replaces the user IP address with its own address in the source IP address field of the packet header.


Based on different appliance implementations, the XFF field may contain non-IP address values."
Referer (referer),referer,"Only for the URL Filtering subtype; all other types do not use this field.
The Referer field in the HTTP header contains the URL of the web page that linked the user to another web page; it is the source that redirected (referred) the user to the web page that is being requested."
Sender (sender),sender,Specifies the name of the sender of an email.
Subject (subject),subject,Specifies the subject of an email.
Recipient (recipient),recipient,Specifies the name of the receiver of an email.
Report ID (reportid),reportid,"Only for Data Filtering and WildFire subtype; all other types do not use this field.
Identifies the analysis request on the firewall, WildFire cloud, or the WildFire appliance."
Device Group Hierarchy (dg_hier_level_1 to dg_hier_level_4),dg_hier_level_1,"A sequence of identification numbers that indicate the device group’s location within a device group hierarchy. The firewall (or virtual system) generating the log includes the identification number of each ancestor in its device group hierarchy. The shared device group (level 0) is not included in this structure.
If the log values are 12, 34, 45, 0, it means that the log was generated by a firewall (or virtual system) that belongs to device group 45, and its ancestors are 34, and 12. To view the device group names that correspond to the value 12, 34 or 45, use one of the following methods:
API query:

/api/?type=op&cmd=<show><dg-hierarchy></dg-hierarchy></show>"
Virtual System Name (vsys_name),vsys_name,The name of the virtual system associated with the session; only valid on firewalls enabled for multiple virtual systems.
Device Name (device_name),device_name,The hostname of the firewall on which the session was logged.
Source VM UUID (src_uuid),src_uuid,Identifies the source universal unique identifier for a guest virtual machine in the VMware NSX environment.
Destination VM UUID (dst_uuid),dst_uuid,Identifies the destination universal unique identifier for a guest virtual machine in the VMware NSX environment.
HTTP Method (http_method),http_method,"Only in URL filtering logs. Describes the HTTP Method used in the web request. Only the following methods are logged: Connect, Delete, Get, Head, Options, Post, Put."
Tunnel ID/IMSI (tunnel_id/imsi),tunnel_id/imsi,International Mobile Subscriber Identity (IMSI) is a unique number allocated to each mobile subscriber in the GSM/UMTS/EPS system. IMSI shall consist of decimal digits (0 through 9) only and maximum number of digits allowed are 15.
Monitor Tag/IMEI (monitortag/imei),monitortag/imei,International Mobile Equipment Identity (IMEI) is a unique 15 or 16 digit number allocated to each mobile station equipment.
Parent Session ID (parent_session_id),parent_session_id,ID of the session in which this session is tunneled. Applies to inner tunnel (if two levels of tunneling) or inside content (if one level of tunneling) only.
Parent Session Start Time (parent_start_time),parent_start_time,Year/month/day hours:minutes:seconds that the parent tunnel session began.
Tunnel Type (tunnel),tunnel,"Type of tunnel, such as GRE or IPSec."
Threat Category (thr_category),thr_category,"Describes threat categories used to classify different types of threat signatures.
If a domain external dynamic list generated the log, domain-edl populates this field."
Content Version (contentver),contentver,Applications and Threats version on your firewall when the log was generated.
SCTP Association ID (assoc_id),assoc_id,Number that identifies all connections for an association between two SCTP endpoints.
Payload Protocol ID (ppid),ppid,ID of the protocol for the payload in the data portion of the data chunk.
HTTP Headers (http_headers),http_headers,Indicates the inserted HTTP header in the URL log entries on the firewall.
URL Category List (url_category_list),url_category_list,Lists the URL filtering categories that the firewall used to enforce policy.
Rule UUID (rule_uuid),rule_uuid,The UUID that permanently identifies the rule.
HTTP/2 Connection (http2_connection),http2_connection,"Identifies if traffic used an HTTP/2 connection by displaying one of the following values:

TCP connection session ID—session is HTTP/2

0—session is not HTTP/2"
Dynamic User Group Name (dynusergroup_name),dynusergroup_name,The name of the dynamic user group that contains the user who initiated the session.
XFF Address (xff_ip),xff_ip,"The IP address of the user who requested the web page or the IP address of the next to last device that the request traversed. If the request goes through one or more proxies, load balancers, or other upstream devices, the firewall displays the IP address of the most recent device.


Based on different appliance implementations, the XFF field may contain non-IP address values."
Source Device Category (src_category),src_category,The category for the device that Device-ID identifies as the source of the traffic.
Source Device Profile (src_profile),src_profile,The device profile for the device that Device-ID identifies as the source of the traffic.
Source Device Model (src_model),src_model,The model of the device that Device-ID identifies as the source of the traffic.
Source Device Vendor (src_vendor),src_vendor,The vendor of the device that Device-ID identifies as the source of the traffic.
Source Device OS Family (src_osfamily),src_osfamily,The operating system type for the device that Device-ID identifies as the source of the traffic.
Source Device OS Version (src_osversion),src_osversion,The version of the operating system for the device that Device-ID identifies as the source of the traffic.
Source Hostname (src_host),src_host,The hostname of the device that Device-ID identifies as the source of the traffic.
Source MAC Address (src_mac),src_mac,The MAC address for the device that Device-ID identifies as the source of the traffic.
Destination Device Category (dst_category),dst_category,The category for the device that Device-ID identifies as the destination for the traffic.
Destination Device Profile (dst_profile),dst_profile,The device profile for the device that Device-ID identifies as the destination for the traffic.
Destination Device Model (dst_model),dst_model,The model of the device that Device-ID identifies as the destination for the traffic.
Destination Device Vendor (dst_vendor),dst_vendor,The vendor of the device that Device-ID identifies as the destination for the traffic.
Destination Device OS Family (dst_osfamily),dst_osfamily,The operating system type for the device that Device-ID identifies as the destination for the traffic.
Destination Device OS Version (dst_osversion),dst_osversion,The version of the operating system for the device that Device-ID identifies as the destination for the traffic.
Destination Hostname (dst_host),dst_host,The hostname of the device that Device-ID identifies as the destination for the traffic.
Destination MAC Address (dst_mac),dst_mac,The MAC address for the device that Device-ID identifies as the destination for the traffic.
Container ID (container_id),container_id,The container ID of the PAN-NGFW pod on the Kubernetes node where the application POD is deployed.
POD Namespace (pod_namespace),pod_namespace,The namespace of the application POD being secured.
POD Name (pod_name),pod_name,The application POD being secured.
Source External Dynamic List (src_edl),src_edl,The name of the external dynamic list that contains the source IP address of the traffic.
Destination External Dynamic List (dst_edl),dst_edl,The name of the external dynamic list that contains the destination IP address of the traffic.
Host ID (hostid),hostid,Unique ID GlobalProtect assigns to identify the host.
User Device Serial Number (serialnumber),serialnumber,Serial number of the user’s machine or device.
Domain EDL (domain_edl),domain_edl,The name of the external dynamic list that contains the domain name of the traffic.
Source Dynamic Address Group (src_dag),src_dag,Original session source dynamic address group.
Destination Dynamic Address Group (dst_dag),dst_dag,Original destination source dynamic address group.
Partial Hash (partial_hash),partial_hash,Machine Learning partial hash.
High Resolution Timestamp (high_res timestamp),high_res,"Time in milliseconds the log was received at the management plane.
The format for this new field is YYYY-MM-DDThh:ss:sssTZD:

YYYY—Four digit year

MM—Two-digit month

DD—Two-digit day of the month (01 through 31)

T—Indicator for the beginning of the timestamp

hh—Two-digit hour using 24-hour time (00 through 23)

mm—Two-digit minute (00 through 59)

ss—Two-digit second (00 through 60)

sss—One or more digits for millisecond

TZD—Time zone designator (+hh:mm or -hh:mm)


The High Resolution Timestamp is supported for logs received from managed firewalls running PAN-OS 11.1 and later releases. Logs received from managed firewalls running PAN-OS 9.1 and earlier releases display a 1969-12-31T16:00:00:000-8:00 timestamp regardless of when the log was received."
Reason (reason),reason,Reason for Data Filtering action.
Justification (justification),justification,Justification for Data Filtering action.
A Slice Service Type (nssai_sst),nssai_sst,The A Slice Service Type of the Network Slice ID.
Application Subcategory (subcategory_of_app),subcategory_of_app,The application subcategory specified in the application configuration properties.
Application Category (category_of_app),category_of_app,"The application category specified in the application configuration properties. Values are:

business-systems

collaboration

general-internet

media

networking

saas"
Application Technology (technology_of_app),technology_of_app,"The application technology specified in the application configuration properties. Values are:

browser-based

client-server

network-protocol

peer-to-peer"
Application Risk (risk_of_app),risk_of_app,Risk level associated with the application (1=lowest to 5=highest).
Application Characteristic (characteristic_of_app),characteristic_of_app,Comma-separated list of applicable characteristic of the application
Application Container (container_of_app),container_of_app,The parent application for an application.
Tunneled Application (tunneled_app),tunneled_app,Name of the tunneled application.
Application SaaS (is_saas_of_app),is_saas_of_app,Displays 1 if a SaaS application or 0 if not a SaaS application.
Application Sanctioned State (sanctioned_state_of_app),sanctioned_state_of_app,Displays 1 if application is sanctioned or 0 if application is not sanctioned.
Cloud Report ID (cloud_reportid),cloud_reportid,"(PAN-OS 10.2.0) Unique 32 character ID for a file scanned by the DLP cloud service sent by a firewall.
(PAN-OS 10.2.1 and later releases) Unique 67 character ID for a file scanned by the DLP cloud service sent by a firewall.
The same Cloud Report ID is displayed for a file the DLP cloud service has already scanned and generated a Cloud Report ID for."
Cluster Name (cluster_name),cluster_name,(11.1 and later releases) Name of the CN-Series firewall cluster.
Flow Type (flow_type),flow_type,"(11.1 and later releases) Identifies the type of proxy used for traffic. If a proxy is used, Explicit Proxy or Transparent Proxy is displayed. If no proxy is used, NonProxyTraffic is displayed."
